,_id,prob,area_name
0,0,0.16071428571428573,None
1,1,0.4944958168207838,West End
2,10,0.0026507620941020544,Berg-Lahser
3,100,0.011152416356877323,East English Village
4,101,0.46707399864222676,Core City
5,102,0.3888888888888889,Virginia Park
6,103,0.09505037231712658,Plymouth-Hubbell
7,104,0.22727272727272727,Joy-Schaefer
8,105,0.31224279835390945,North Campau
9,106,0.23053892215568864,Hawthorne Park
10,107,0.19614835948644793,Northeast Central District
11,108,0.4959916347159289,Pilgrim Village
12,109,0.3789279112754159,Fitzgerald/Marygrove
13,11,0.18664226898444647,Five Points
14,110,0.9417758369723436,Penrose
15,111,0.03618817852834741,Schulze
16,112,0.038946162657502864,Greenwich
17,113,0.029211295034079845,Schaefer 7/8 Lodge
18,114,0.1393939393939394,Tri-Point
19,115,0.06106633601983881,College Park
20,116,0.004757785467128028,Winship
21,117,0.30872056015276894,Nortown
22,118,0.2559115179252479,Von Steuben
23,119,0.25216637781629114,Buffalo Charles
24,12,0.18737270875763748,The Eye
25,120,0.021850899742930592,West Outer Drive
26,121,0.31136,Joy Community
27,122,0.3080357142857143,Southfield Plymouth
28,123,0.260752688172043,Paveway
29,124,0.3828125,Pride Area Community
30,125,0.3246492985971944,Happy Homes
31,126,0.2182410423452769,Northwest Community
32,127,0.37184115523465705,Littlefield Community
33,128,0.38126009693053314,We Care Community
34,129,0.2572992700729927,Fiskhorn
35,13,0.11079545454545454,Old Redford
36,130,0.49378565607171965,Midwest
37,131,0.3261163734776725,LaSalle Gardens
38,132,0.453125,Wildemere Park
39,133,0.5107142857142857,Jamison
40,134,0.2923076923076923,Tech Town
41,135,0.2147239263803681,Medbury Park
42,136,0.16470588235294117,Russell Industrial
43,137,0.11174785100286533,Milwaukee Junction
44,138,0.3696551724137931,Downtown
45,139,0.23157894736842105,Denby
46,14,0.16403162055335968,Grandmont
47,140,0.18052869116698905,Midtown
48,141,0.22058823529411764,Wayne State
49,142,0.33760683760683763,Historic Atkinson
50,143,0.27283040272263187,Yorkshire Woods
51,144,0.2,New Center
52,145,0.38137282825405866,North End
53,146,0.34620689655172415,Elijah McCoy
54,147,0.46992202005198663,Dexter-Linwood
55,148,0.31985428051001824,Davison
56,149,0.1908713692946058,Farwell
57,15,0.03487064116985377,Grandmont #1
58,150,0.09492273730684327,West Side Industrial
59,151,0.0,Belle Isle
60,152,0.3869115958668197,Grand River-I96
61,153,0.3793388429752066,Davison-Schoolcraft
62,154,0.5049928673323824,Dexter-Fenkell
63,155,0.011235955056179775,Rouge Park
64,156,0.3404548587181254,Plymouth-I96
65,157,0.3648148148148148,Gateway Community
66,158,0.25,Waterworks Park
67,159,0.05611510791366906,Grant
68,16,0.004103165298944901,Rosedale Park
69,160,0.1740346950195859,Greenfield Park
70,161,0.04016786570743405,Garden Homes
71,162,0.7634633682207421,Mapleridge
72,163,0.5500886524822695,Eden Gardens
73,164,0.47392875580795046,Wade
74,165,0.5591836734693878,Ravendale
75,166,0.5749113475177305,Gratiot-Findlay
76,167,0.35591252177278887,Outer Drive-Hayes
77,168,0.06833631484794275,Moross-Morang
78,169,0.4245742092457421,Gratiot-Grand
79,17,0.1942257217847769,Minock Park
80,170,0.5458786936236392,Chandler Park-Chalmers
81,171,0.21403508771929824,Mexicantown
82,172,0.07956318252730109,South of Six
83,173,0.27070063694267515,Oak Grove
84,174,0.015065913370998116,McNichols Evergreen
85,175,0.01,Melvern Hill
86,176,0.13958964009418096,Evergreen Lahser 7/8
87,177,0.04536410664544369,O'Hair Park
88,178,0.05323868677905945,Crary/St Marys
89,179,0.12511415525114156,Greenfield-Grand River
90,18,0.3202170963364993,Westwood Park
91,180,0.4325,Cadillac Community
92,181,0.13914174252275682,Seven Mile-Rouge
93,182,0.1112167300380228,Evergreen-Outer Drive
94,183,0.2737110120942075,Holcomb Community
95,184,0.15627189908899788,Hubbell-Puritan
96,185,0.37466878643349233,Hubbell-Lyndon
97,186,0.30248306997742663,Grand River-St Marys
98,187,0.28231193726401393,Schoolcraft Southfield
99,188,0.5531914893617021,Greektown
100,189,0.28735632183908044,Cadillac Heights
101,19,0.41297380926069177,Warrendale
102,190,0.13149171270718232,Butler
103,191,0.15577889447236182,Pershing
104,192,0.10922330097087378,Mount Olivet
105,193,0.7816683831101957,Franklin
106,194,0.36912065439672803,Conner Creek
107,195,0.3893772208715167,Nolan
108,196,0.16615067079463364,Sherwood
109,197,0.2907239819004525,Herman Kiefer
110,198,0.019455252918287938,San Bernardo
111,199,0.009523809523809525,Seven Mile Lodge
112,2,0.579321231254933,Chandler Park
113,20,0.1111111111111111,Garden View
114,200,0.027807486631016044,McDowell
115,201,0.1646153846153846,Pembroke
116,202,0.0825242718446602,Oak Grove
117,203,0.1643041237113402,Harmony Village
118,204,0.2008211353088183,Bethune Community
119,205,0.33416666666666667,Chalfonte
120,206,0.188,Miller Grove
121,207,0.5538964069062062,Gratiot Woods
122,208,0.5384615384615384,East Canfield
123,209,0.6636396658191064,Fox Creek
124,21,0.3061375400542273,Warren Ave Community
125,22,0.001466275659824047,Far West Detroit
126,23,0.035398230088495575,Marina District
127,24,0.05303030303030303,Joseph Berry Sub
128,25,0.016355140186915886,Indian Village
129,26,0.025885558583106268,Rivertown
130,27,0.14285714285714285,West Village
131,28,0.03640256959314775,Conner Creek Industrial
132,29,0.23711340206185566,Corktown
133,3,0.4905780224433623,Riverbend
134,30,0.16416861826697893,Boynton
135,31,0.81511746680286,Oakwood Heights
136,32,0.26558073654390935,Delray
137,33,0.4050170175217446,Claytown
138,34,0.0553306342780027,Aviation Sub
139,35,0.34372759856630825,Barton-McFarland
140,36,0.00909090909090909,Bagley
141,37,0.038537549407114624,Green Acres
142,38,0.25,State Fair
143,39,0.0,Palmer Woods
144,4,0.169433465085639,Jefferson Chalmers
145,40,0.08139534883720931,Sherwood Forest
146,41,0.035688273852876914,University District
147,42,0.9259903381642512,Springwells
148,43,0.287977632805219,Franklin Park
149,44,0.467280163599182,Weatherby
150,45,0.011235955056179775,Castle Rouge
151,46,0.1223021582733813,Eliza Howell
152,47,0.4473025723150836,Brightmoor
153,48,0.48894842598794375,Chadsey Condon
154,49,0.2837951301427372,Woodbridge
155,5,0.38058496321550334,Morningside
156,50,0.3530113297555158,Greenfield
157,51,0.39549041713641486,Oakman Blvd Community
158,52,0.5514149621742785,Nardin Park
159,53,0.3855349671249253,Petoskey-Otsego
160,55,0.284375,Islandview
161,56,0.0661764705882353,Detroit Golf
162,57,0.05402650356778797,Boston Edison
163,58,0.2523364485981308,Arden Park
164,59,0.47139689578713967,Campau/Banglatown
165,6,0.10234278668310727,Cornerstone Village
166,60,0.19525801952580196,Conant Gardens
167,61,0.24489795918367346,Krainz Woods
168,62,0.15822784810126583,LaSalle College Park
169,63,0.06476683937823834,Elmwood Park
170,64,0.35256262928062515,McDougall-Hunt
171,65,0.29194883370955604,North Corktown
172,66,0.07621951219512195,Cultural Center
173,67,0.1,Carbon Works
174,68,0.36097560975609755,Michigan-Martin
175,69,0.47729789590254706,Pingree Park
176,7,0.21251109139307897,Regent Park
177,70,0.16617033948779036,Martin Park
178,71,0.27104722792607805,Belmont
179,72,0.11655629139072848,Blackstone Park
180,73,0.28165584415584416,East Village
181,74,0.1977715877437326,Hubbard Farms
182,75,0.1948176583493282,Russell Woods
183,76,0.0,Gold Coast
184,77,0.005067567567567568,Mohican Regent
185,78,0.08461538461538462,Jeffries
186,79,0.13186813186813187,Medical Center
187,8,0.030569948186528497,North Rosedale Park
188,80,0.45179063360881544,Pulaski
189,81,0.3130570758405004,Central Southwest
190,82,0.13350125944584382,Hubbard Richard
191,83,0.46875,NW Goldberg
192,84,0.6759098786828422,Henry Ford
193,85,0.6356589147286822,West Virginia Park
194,86,0.4114713216957606,North LaSalle
195,87,0.0,Forest Park
196,88,0.12256267409470752,Lafayette Park
197,89,0.4657142857142857,Eastern Market
198,9,0.25961538461538464,Riverdale
199,90,1.0,Brewster Homes
200,91,0.046511627906976744,Douglass
201,92,0.051319648093841645,Brush Park
202,93,0.43682664054848186,Gratiot Town/Ketterring
203,94,0.1169369701437523,Airport Sub
204,95,0.40596491228070175,Poletown East
205,96,0.3868232224396608,Grixdale Farms
206,97,0.34545454545454546,Palmer Park
207,98,0.04054054054054054,New Center Commons
208,99,0.31559854897218864,Piety Hill
